998298	8092500
998299	3441900
998300	28679500
998301	11407000
998302	1227900
998303	1206500
998304	1179600
998305	1174900
998306	1175300
998307	1173300
998308	1795000
998309	1675900
998310	1253300
998311	1225300
998312	1643000
998313	1213400
998314	1220700
998315	1175700
998316	1170700
998317	1169200
998318	1175300
998319	1173500
998320	1252300
998321	1180100
998322	1186600
998323	1215700
998324	1213400
998325	1199500
998326	1587000
998327	1179000
998328	1172200
998329	1171000
998330	1169900
998331	1168700
998332	1179000
998333	1240800
998334	1181800
998335	1192800
998336	1212400
998337	1204500
998338	1206900
998339	1581800
998340	1189600
998341	1184000
998342	1173100
998343	1171700
998344	1170900
998345	1169700
998346	1457400
998347	1216800
998348	1206000
998349	1200400
998350	1211500
998351	1185200
998352	1182600
998353	1577700
998354	1185900
998355	1175300
998356	1170900
998357	1170400
998358	1207900
998359	1262600
998360	1206600
998361	1198500
998362	1184400
998363	1199800
998364	1188600
998365	1189400
998366	1576100
998367	1187700
998368	1173700
998369	1170300
998370	1170500
998371	1235500
998372	1208100
998373	1207900
998374	1193200
998375	1176400
998376	1176300
998377	1199900
998378	1189500
998379	1181900
998380	1632900
998381	1181200
998382	1176300
998383	1198000
998384	1273800
998385	1217300
998386	1207400
998387	1203200
998388	1201500
998389	1212000
998390	1229100
998391	1302100
998392	1226300
998393	1610400
998394	1210600
998395	1264800
998396	1355300
998397	1217800
998398	1230900
998399	1228500
998400	1231100
998401	1235900
998402	1230100
998403	1345300
998404	1508200
998405	2630800
998406	1279400
998407	1286800
998408	1233100
998409	1225700
998410	1213000
998411	1205800
998412	1205000
998413	1201500
998414	1244000
998415	1397600
998416	1409800
998417	1232300
998418	1619100
998419	1230600
998420	1304600
998421	1208900
998422	1198100
998423	1194200
998424	1197100
998425	1198100
998426	1240200
998427	1198200
998428	1295000
998429	1418800
998430	1294800
998431	1645400
998432	1308200
998433	1268000
998434	1361500
998435	1214100
998436	1217600
998437	1200000
998438	1202200
998439	1206500
998440	1260700
998441	1385600
998442	1446900
998443	1232100
998444	1736600
998445	1783900
998446	1231900
998447	1221200
998448	1234700
998449	1203100
998450	1234800
998451	1218800
998452	1216400
998453	1341300
998454	1382800
998455	1231800
998456	1721000
998457	1248300
998458	1211000
998459	1207700
998460	1200900
998461	1199900
998462	1209000
998463	1208400
998464	1213600
998465	1207300
998466	1382100
998467	1454200
998468	1232000
998469	1921600
998470	1225800
998471	1256000
998472	1205100
998473	1203400
998474	1207400
998475	1215900
998476	1215800
998477	1201300
998478	1211900
998479	1426500
998480	1536900
998481	1786800
998482	1230400
998483	1223600
998484	1219200
998485	1251900
998486	1207800
998487	1215400
998488	1216300
998489	1228300
998490	1229100
998491	1405100
998492	1472900
998493	1858400
998494	2412100
998495	1228200
998496	1210200
998497	1203700
998498	1200000
998499	1196400
998500	1335300
998501	1220100
998502	1351000
998503	1285200
998504	1689700
998505	1235200
998506	1617000
998507	1190700
998508	1172300
998509	1168800
998510	1165200
998511	1165500
998512	1165600
998513	1164800
998514	1165800
998515	1167100
998516	1276400
998517	1270800
998518	1225900
998519	1598600
998520	1184900
998521	1167600
998522	1166400
998523	1165700
998524	1180800
998525	1165100
998526	1164200
998527	1164700
998528	1166100
998529	1243400
998530	1228600
998531	1209300
998532	1183200
998533	1577200
998534	1176000
998535	1169700
998536	1167400
998537	1165000
998538	1165000
998539	1165600
998540	1167600
998541	1164600
998542	1215100
998543	1192600
998544	1199300
998545	1174200
998546	1167800
998547	1594700
998548	1172800
998549	1180100
998550	1166400
998551	1172300
998552	1169800
998553	1170200
998554	1170600
998555	1167200
998556	1282500
998557	1208100
998558	1176200
998559	1167700
998560	1166700
998561	1598200
998562	1176800
998563	1166800
998564	1167100
998565	1166700
998566	1167100
998567	1166100
998568	1164900
998569	1411800
998570	1209200
998571	1194200
998572	1173300
998573	1180500
998574	1579900
998575	1177100
998576	1169400
998577	1166400
998578	1165300
998579	1165500
998580	1165500
998581	1164800
998582	1247900
998583	1186700
998584	1170800
998585	1167600
998586	1167000
998587	1165800
998588	1587300
998589	1173800
998590	1166100
998591	1166200
998592	1165200
998593	1164700
998594	1165500
998595	1427300
998596	1222200
998597	1210600
998598	1204400
998599	1166200
998600	1169400
998601	1565000
998602	1185600
998603	1176000
998604	1167900
998605	1165800
998606	1166100
998607	1165700
998608	1239100
998609	1170300
998610	1167300
998611	1165600
998612	1165600
998613	1165300
998614	1166400
998615	1574600
998616	1176400
998617	1171300
998618	1166800
998619	1165300
998620	1166300
998621	1414500
998622	1221000
998623	1191700
998624	1169600
998625	1165300
998626	1165600
998627	1165700
998628	1166800
998629	1593900
998630	1173900
998631	1169900
998632	1165500
998633	1165500
998634	1249600
998635	1169900
998636	1167600
998637	1167500
998638	1165400
998639	1173900
998640	1173400
998641	1167800
998642	1216600
998643	1597000
998644	1170900
998645	1166400
998646	1165800
998647	1263600
998648	1190300
998649	1157300
998650	1140200
998651	1138300
998652	1136500
998653	1136200
998654	1136000
998655	1137000
998656	1151700
998657	1558800
998658	1140700
998659	1136500
998660	1135900
998661	1250300
998662	1137500
998663	1136900
998664	1136100
998665	1135900
998666	1136000
998667	1135900
998668	1138600
998669	1135900
998670	1136500
998671	1560600
998672	1158800
998673	1138100
998674	1205000
998675	1139000
998676	1138000
998677	1136600
998678	1137500
998679	1136000
998680	1135400
998681	1135700
998682	1150400
998683	1144400
998684	1139000
998685	1560900
998686	1147200
998687	1140500
998688	1208200
998689	1141500
998690	1137000
998691	1136600
998692	1136900
998693	1136500
998694	1135600
998695	1136500
998696	1137700
998697	1134800
998698	1147000
998699	1543700
998700	1236600
998701	1154500
998702	1138100
998703	1136500
998704	1136500
998705	1136200
998706	1137700
998707	1136500
998708	1135900
998709	1135900
998710	1136600
998711	1134900
998712	1135600
998713	1581100
998714	1162900
998715	1154200
998716	1141000
998717	1136900
998718	1135300
998719	1135300
998720	1136000
998721	1135600
998722	1136700
998723	1135800
998724	1148200
998725	1134800
998726	1134500
998727	1234200
998728	1561500
998729	1145800
998730	1137900
998731	1135500
998732	1135500
998733	1126100
998734	1111100
998735	1109000
998736	1145200
998737	1108400
998738	1144400
998739	1109400
998740	1145200
998741	2265000
998742	1185000
998743	1134500
998744	1112500
998745	1108400
998746	1147200
998747	1108000
998748	1107900
998749	1130600
998750	1107600
998751	1107300
998752	1107500
998753	1277600
998754	1638700
998755	1616800
998756	1148400
998757	1108900
998758	1108100
998759	1108500
998760	1108000
998761	1108100
998762	1107800
998763	1145200
998764	1145200
998765	1107600
998766	1108100
998767	1371500
998768	1123600
998769	1574300
998770	1132300
998771	1152700
998772	1108700
998773	1144900
998774	1122200
998775	1107600
998776	1179900
998777	1107700
998778	1107700
998779	1145300
998780	1846100
998781	1183000
998782	1125200
998783	1538700
998784	1156100
998785	1110500
998786	1144900
998787	1146100
998788	1108000
998789	1144500
998790	1108300
998791	1108400
998792	1108200
998793	1312000
998794	1125600
998795	1112500
998796	1146700
998797	1555800
998798	1234100
998799	1129300
998800	1109500
998801	1109100
998802	1108200
998803	1108600
