1000	1273600	464200
2000	2292900	36700
3000	1543100	20300
4000	1563100	18100
5000	1702200	18600
6000	2360100	17700
7000	2438000	19900
8000	2137600	34300
9000	2185100	19000
10000	2457200	18800
11000	2764800	19000
12000	2957700	17700
13000	618400	6900
14000	523600	6600
15000	771400	7800
16000	971600	8600
17000	674800	7900
18000	682100	11200
19000	559200	8300
20000	820500	7700
21000	515000	6200
22000	501900	6300
23000	529600	7000
24000	848400	6000
25000	503500	7700
26000	542700	6300
27000	755200	6300
28000	583100	6200
29000	546200	6500
30000	509100	6200
