1000	20100	389000
2000	64400	41300
3000	50300	233300
4000	59300	288000
5000	67100	195200
6000	24100	52600
7000	28100	60900
8000	30100	56300
9000	48700	123900
10000	22800	48100
11000	17900	78400
12000	17700	55400
13000	48200	40100
14000	16600	84400
15000	11000	56900
16000	15800	29300
17000	43100	38600
18000	61400	131500
19000	28200	69000
20000	35800	94800
21000	52500	49700
22000	55100	44400
23000	16900	34300
24000	60700	63100
25000	17500	33800
26000	22900	34300
27000	14300	61500
28000	63400	41900
29000	19900	33500
30000	42900	89700
31000	17600	75300
32000	30800	50500
33000	18700	32200
34000	20200	86500
35000	21300	76000
36000	18600	166300
37000	19200	158700
38000	21900	28600
39000	63100	58100
40000	16800	51300
41000	30000	29500
42000	76300	32600
43000	19900	71300
44000	19800	30600
45000	52900	69800
46000	62400	34300
47000	23600	57500
48000	17700	48300
49000	43300	29600
50000	74600	46500
51000	216600	30000
52000	22800	48700
53000	43300	23400
54000	15900	24900
55000	58000	122000
56000	33800	26900
57000	72800	32800
58000	15800	18600
59000	39200	18500
60000	15600	38900
61000	17200	18800
62000	23600	18300
63000	18400	31700
64000	62500	18400
65000	27400	15900
66000	51000	17000
67000	17000	22600
68000	20100	17000
69000	49700	26100
70000	17500	16700
71000	23500	15200
72000	22200	35100
73000	19200	68700
74000	33000	16700
75000	18200	16700
76000	67300	24200
77000	19600	17600
78000	45600	17600
79000	17400	20900
80000	18900	143500
81000	42100	21100
82000	50700	10100
83000	14700	10400
84000	22400	25900
85000	29700	61700
86000	24200	28900
87000	18100	19200
88000	53500	14600
89000	29400	10600
90000	27300	12200
91000	18900	24600
92000	37500	31900
93000	38600	26400
94000	23500	9900
95000	41800	20800
96000	29000	10900
97000	19400	11700
98000	56500	11600
99000	21200	17800
100000	75200	12700
101000	43700	10400
102000	107300	10800
103000	50000	10500
104000	53000	10600
105000	53200	9600
106000	63300	18500
107000	20400	7000
108000	21100	6100
109000	69300	7000
110000	34700	11200
111000	66500	7900
112000	19800	7600
113000	20100	8800
114000	40500	6100
115000	21200	7900
116000	21200	6300
117000	36000	6100
118000	20000	7300
119000	17300	25200
120000	19100	68800
121000	16200	12000
122000	62900	7500
123000	53700	6600
124000	45400	6400
125000	57300	6200
126000	21900	7300
127000	21000	7500
128000	31700	13500
129000	23900	7500
130000	16200	20500
131000	71600	7300
132000	20900	7600
133000	21600	27200
134000	21500	21900
135000	19200	7200
136000	19400	5500
137000	60200	17600
138000	30500	11200
139000	23300	6900
140000	20000	6500
141000	56800	6200
142000	21300	417300
143000	79100	27100
144000	19000	8000
145000	28400	5800
146000	24900	8700
147000	22800	6900
148000	20500	5700
149000	61400	16000
150000	36200	5800
151000	73800	6700
152000	57400	6600
153000	21300	7500
154000	24300	6700
155000	21800	5800
156000	19900	15200
157000	40000	6000
158000	19300	5400
159000	21200	6500
160000	20300	6300
161000	53500	7800
162000	39200	5900
163000	58300	6600
164000	20600	11300
165000	52200	18500
166000	115700	6800
167000	55000	9400
168000	20100	6100
169000	37700	47800
170000	20000	5800
171000	20300	6500
172000	24500	6700
173000	22400	5700
174000	24200	7900
175000	87300	5500
176000	28500	6400
177000	22300	7300
178000	20800	8300
179000	22300	6700
180000	17800	5800
181000	21100	7000
182000	17100	6300
183000	17400	26600
184000	18400	6400
185000	62400	6000
186000	34400	5700
187000	17300	5600
188000	18600	5100
189000	20000	5300
190000	15800	5600
191000	16600	6000
192000	21100	6200
193000	17600	5100
194000	49200	5400
195000	21500	5800
196000	35800	6000
197000	20000	5700
198000	22000	18400
199000	58000	5400
200000	26500	5900
201000	21700	9000
202000	20400	6700
203000	20800	35700
204000	18600	6000
205000	18700	6200
206000	18100	14000
207000	18000	8600
208000	31800	6000
209000	21100	6400
210000	37700	5400
211000	25800	6300
212000	17900	5900
213000	16100	5400
214000	17800	8800
215000	15500	6300
216000	18200	16400
217000	22100	6300
218000	36900	6000
219000	61600	29300
220000	17200	5900
221000	34200	6000
222000	21100	5300
223000	27200	5600
224000	32200	6700
225000	46500	5600
226000	25200	6300
227000	50600	6300
228000	20500	6400
229000	15800	5500
230000	15700	6900
231000	20500	5500
232000	38000	6000
233000	24100	6500
234000	20500	6200
235000	19000	5700
236000	20500	6900
237000	19900	6300
238000	19500	5700
239000	38400	6400
240000	19200	5500
241000	20400	5600
242000	19400	5700
243000	63100	5400
244000	20500	5600
245000	24300	5800
246000	19800	6000
247000	20100	7000
248000	19200	6200
249000	38300	5700
250000	21900	27400
251000	20200	6800
252000	26500	6800
253000	21200	6100
254000	23200	5900
255000	18400	19200
256000	20400	7000
